   Compiling btc5m-bot v0.1.0 (/Users/azharuddinarrosis/Developments/poly/btc5m-v02/bot)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 3.52s
     Running `target/debug/btc5m-bot`
[INIT] No state.json found, starting fresh
BTC 5m Forward Bot API running on http://0.0.0.0:8082
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-544s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-844s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-244s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-544s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-844s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-244s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-544s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-844s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-243s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-543s | ACTIVE
[AUTO] 🔥 EXECUTED Yes order for btc-updown-5m-1776335100 at 52.0%
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-843s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-243s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-543s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-843s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-242s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-542s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-842s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-242s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-542s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-842s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-241s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-541s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-841s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-241s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-541s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-841s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-240s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-540s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-840s | ACTIVE
[REALTIME] 1776334800 | UP: 61.0c | DOWN: 38.0c | T-240s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-540s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-840s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-239s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-539s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-839s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-239s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-539s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-839s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-238s | ACTIVE
[REALTIME] 1776335100 | UP: 52.0c | DOWN: 47.0c | T-538s | ACTIVE
